"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
1 Jul 2007 12:00:00.000,0.956,99.795,900.008908,0.058080,-0.011938,0.000718
1 Jul 2007 12:01:00.000,4.441,99.078,900.130237,0.058073,-0.011982,0.003321
1 Jul 2007 12:02:00.000,7.925,98.356,900.406478,0.058058,-0.012084,0.005875
1 Jul 2007 12:03:00.000,11.407,97.627,900.833475,0.058033,-0.012248,0.008340
1 Jul 2007 12:04:00.000,14.888,96.885,901.404804,0.057999,-0.012477,0.010680
1 Jul 2007 12:05:00.000,18.367,96.128,902.111876,0.057956,-0.012781,0.012859
1 Jul 2007 12:06:00.000,21.843,95.350,902.944068,0.057903,-0.013167,0.014846
1 Jul 2007 12:07:00.000,25.315,94.546,903.888889,0.057840,-0.013651,0.016609
1 Jul 2007 12:08:00.000,28.784,93.709,904.932174,0.057767,-0.014249,0.018124
1 Jul 2007 12:09:00.000,32.247,92.833,906.058297,0.057681,-0.014987,0.019367
1 Jul 2007 12:10:00.000,35.705,91.907,907.250416,0.057582,-0.015896,0.020321
1 Jul 2007 12:11:00.000,39.156,90.921,908.490724,0.057466,-0.017019,0.020971
1 Jul 2007 12:12:00.000,42.601,89.860,909.760721,0.057332,-0.018419,0.021309
1 Jul 2007 12:13:00.000,46.036,88.704,911.041494,0.057172,-0.020177,0.021330
1 Jul 2007 12:14:00.000,49.461,87.429,912.313995,0.056980,-0.022417,0.021034
1 Jul 2007 12:15:00.000,52.872,86.001,913.559329,0.056744,-0.025313,0.020426
1 Jul 2007 12:16:00.000,56.269,84.373,914.759032,0.056446,-0.029132,0.019515
1 Jul 2007 12:17:00.000,59.644,82.478,915.895342,0.056057,-0.034288,0.018315
1 Jul 2007 12:18:00.000,62.993,80.219,916.951456,0.055531,-0.041449,0.016845
1 Jul 2007 12:19:00.000,66.304,77.443,917.911780,0.054783,-0.051737,0.015126
1 Jul 2007 12:20:00.000,69.559,73.909,918.762150,0.053666,-0.067130,0.013185
1 Jul 2007 12:21:00.000,72.730,69.214,919.490036,0.051888,-0.091264,0.011049
1 Jul 2007 12:22:00.000,75.761,62.649,920.084723,0.048842,-0.130996,0.008750
1 Jul 2007 12:23:00.000,78.541,52.942,920.537465,0.043200,-0.198510,0.006323
1 Jul 2007 12:24:00.000,80.839,37.991,920.841606,0.032179,-0.306725,0.003803
1 Jul 2007 12:25:00.000,82.218,15.884,920.992677,0.012161,-0.422422,0.001227
1 Jul 2007 12:26:00.000,82.176,-10.177,920.988459,-0.013483,-0.418003,-0.001367
1 Jul 2007 12:27:00.000,80.733,-31.903,920.829013,-0.032982,-0.299906,-0.003941
1 Jul 2007 12:28:00.000,78.399,-46.506,920.516683,-0.043611,-0.193874,-0.006457
1 Jul 2007 12:29:00.000,75.602,-55.996,920.056057,-0.049057,-0.128267,-0.008878
1 Jul 2007 12:30:00.000,72.562,-62.434,919.453907,-0.052009,-0.089638,-0.011169
1 Jul 2007 12:31:00.000,69.385,-67.051,918.719091,-0.053740,-0.066115,-0.013295
1 Jul 2007 12:32:00.000,66.125,-70.535,917.862424,-0.054832,-0.051071,-0.015225
1 Jul 2007 12:33:00.000,62.812,-73.278,916.896531,-0.055564,-0.040993,-0.016931
1 Jul 2007 12:34:00.000,59.462,-75.515,915.835658,-0.056082,-0.033965,-0.018387
1 Jul 2007 12:35:00.000,56.085,-77.393,914.695472,-0.056464,-0.028895,-0.019572
1 Jul 2007 12:36:00.000,52.688,-79.009,913.492833,-0.056758,-0.025135,-0.020467
1 Jul 2007 12:37:00.000,49.275,-80.427,912.245547,-0.056992,-0.022280,-0.021058
1 Jul 2007 12:38:00.000,45.850,-81.695,910.972111,-0.057181,-0.020071,-0.021337
1 Jul 2007 12:39:00.000,42.414,-82.845,909.691434,-0.057339,-0.018334,-0.021299
1 Jul 2007 12:40:00.000,38.970,-83.902,908.422564,-0.057473,-0.016952,-0.020944
1 Jul 2007 12:41:00.000,35.518,-84.885,907.184399,-0.057587,-0.015841,-0.020277
1 Jul 2007 12:42:00.000,32.059,-85.807,905.995408,-0.057686,-0.014943,-0.019307
1 Jul 2007 12:43:00.000,28.596,-86.681,904.873353,-0.057771,-0.014214,-0.018048
1 Jul 2007 12:44:00.000,25.127,-87.516,903.835018,-0.057844,-0.013622,-0.016520
1 Jul 2007 12:45:00.000,21.655,-88.318,902.895952,-0.057906,-0.013144,-0.014743
1 Jul 2007 12:46:00.000,18.179,-89.095,902.070238,-0.057958,-0.012762,-0.012746
1 Jul 2007 12:47:00.000,14.700,-89.851,901.370270,-0.058001,-0.012463,-0.010557
1 Jul 2007 12:48:00.000,11.219,-90.592,900.806563,-0.058034,-0.012237,-0.008210
1 Jul 2007 12:49:00.000,7.736,-91.321,900.387593,-0.058059,-0.012077,-0.005739
1 Jul 2007 12:50:00.000,4.252,-92.042,900.119662,-0.058074,-0.011978,-0.003181
1 Jul 2007 12:51:00.000,0.767,-92.760,900.006804,-0.058080,-0.011937,-0.000576
1 Jul 2007 12:52:00.000,-2.718,-93.476,900.050716,-0.058078,-0.011953,0.002038
1 Jul 2007 12:53:00.000,-6.202,-94.195,900.250738,-0.058067,-0.012026,0.004621
1 Jul 2007 12:54:00.000,-9.686,-94.920,900.603859,-0.058046,-0.012159,0.007135
1 Jul 2007 12:55:00.000,-13.167,-95.655,901.104766,-0.058017,-0.012355,0.009541
1 Jul 2007 12:56:00.000,-16.647,-96.404,901.745925,-0.057978,-0.012621,0.011804
1 Jul 2007 12:57:00.000,-20.125,-97.172,902.517701,-0.057930,-0.012965,0.013890
1 Jul 2007 12:58:00.000,-23.599,-97.962,903.408505,-0.057873,-0.013399,0.015767
1 Jul 2007 12:59:00.000,-27.069,-98.781,904.404973,-0.057804,-0.013938,0.017407
1 Jul 2007 13:00:00.000,-30.535,-99.637,905.492172,-0.057725,-0.014603,0.018787
1 Jul 2007 13:01:00.000,-33.996,-100.537,906.653831,-0.057633,-0.015423,0.019886
1 Jul 2007 13:02:00.000,-37.451,-101.492,907.872588,-0.057526,-0.016434,0.020688
1 Jul 2007 13:03:00.000,-40.899,-102.514,909.130250,-0.057401,-0.017688,0.021182
1 Jul 2007 13:04:00.000,-44.338,-103.620,910.408074,-0.057254,-0.019256,0.021360
1 Jul 2007 13:05:00.000,-47.769,-104.833,911.687042,-0.057080,-0.021240,0.021220
1 Jul 2007 13:06:00.000,-51.187,-106.180,912.948150,-0.056867,-0.023785,0.020765
1 Jul 2007 13:07:00.000,-54.592,-107.702,914.172685,-0.056603,-0.027107,0.020002
1 Jul 2007 13:08:00.000,-57.978,-109.455,915.342504,-0.056263,-0.031538,0.018943
1 Jul 2007 13:09:00.000,-61.341,-111.519,916.440300,-0.055812,-0.037601,0.017605
1 Jul 2007 13:10:00.000,-64.672,-114.017,917.449851,-0.055188,-0.046162,0.016006
1 Jul 2007 13:11:00.000,-67.958,-117.138,918.356259,-0.054279,-0.058705,0.014171
1 Jul 2007 13:12:00.000,-71.176,-121.193,919.146162,-0.052877,-0.077909,0.012127
1 Jul 2007 13:13:00.000,-74.285,-126.717,919.807927,-0.050566,-0.108782,0.009905
1 Jul 2007 13:14:00.000,-77.208,-134.663,920.331818,-0.046445,-0.160667,0.007537
1 Jul 2007 13:15:00.000,-79.785,-146.710,920.710129,-0.038549,-0.248024,0.005058
1 Jul 2007 13:16:00.000,-81.687,-165.201,920.937303,-0.023287,-0.371004,0.002505
1 Jul 2007 13:17:00.000,-82.391,169.763,921.010001,0.000859,-0.441606,-0.000085
