"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jul 2007 12:39:16.599,67.969,-28.939,3534.669757
1 Jul 2007 12:40:16.000,73.791,-28.961,3390.964362
1 Jul 2007 12:41:16.000,80.207,-29.016,3284.364566
1 Jul 2007 12:42:16.000,87.029,-29.065,3220.929820
1 Jul 2007 12:43:16.000,94.063,-29.081,3203.643096
1 Jul 2007 12:44:16.000,101.079,-29.054,3233.487416
1 Jul 2007 12:45:16.000,107.849,-29.000,3309.256395
1 Jul 2007 12:46:16.000,114.189,-28.950,3427.808457
1 Jul 2007 12:46:50.939,117.634,-28.939,3514.807555
1 Jul 2007 14:18:03.819,16.281,-28.939,3541.813463
1 Jul 2007 14:19:03.000,17.839,-29.116,3168.770090
1 Jul 2007 14:20:03.000,19.930,-29.792,2795.057601
1 Jul 2007 14:21:03.000,22.800,-31.171,2429.762640
1 Jul 2007 14:22:03.000,26.916,-33.548,2079.170331
1 Jul 2007 14:23:03.000,33.173,-37.320,1753.957026
1 Jul 2007 14:24:03.000,43.381,-42.820,1472.800114
1 Jul 2007 14:25:03.000,61.002,-49.425,1266.938829
1 Jul 2007 14:26:03.000,89.020,-53.552,1177.668636
1 Jul 2007 14:27:03.000,118.997,-50.955,1231.133619
1 Jul 2007 14:28:03.000,139.258,-44.485,1411.174354
1 Jul 2007 14:29:03.000,151.000,-38.554,1677.100991
1 Jul 2007 14:30:03.000,158.080,-34.351,1994.173507
1 Jul 2007 14:31:03.000,162.675,-31.655,2340.844904
1 Jul 2007 14:32:03.000,165.855,-30.055,2704.775388
1 Jul 2007 14:33:03.000,168.169,-29.226,3078.777930
1 Jul 2007 14:34:03.000,169.921,-28.944,3458.448857
1 Jul 2007 14:34:09.651,170.089,-28.939,3500.751830
1 Jul 2007 16:00:14.583,336.073,-28.939,3542.812172
1 Jul 2007 16:01:14.000,332.799,-29.087,3196.721659
1 Jul 2007 16:02:14.000,328.580,-29.626,2861.397907
1 Jul 2007 16:03:14.000,323.094,-30.629,2547.413768
1 Jul 2007 16:04:14.000,315.859,-32.125,2265.067408
1 Jul 2007 16:05:14.000,306.295,-34.010,2028.854490
1 Jul 2007 16:06:14.000,293.960,-35.896,1857.454733
1 Jul 2007 16:07:14.000,279.151,-37.076,1770.448550
1 Jul 2007 16:08:14.000,263.459,-36.931,1780.511519
1 Jul 2007 16:09:14.000,249.085,-35.545,1885.969480
1 Jul 2007 16:10:14.000,237.352,-33.613,2071.867432
1 Jul 2007 16:11:14.000,228.341,-31.789,2318.249899
1 Jul 2007 16:12:14.000,221.545,-30.392,2607.157449
1 Jul 2007 16:13:14.000,216.396,-29.488,2925.013793
1 Jul 2007 16:14:14.000,212.439,-29.032,3262.267059
1 Jul 2007 16:14:56.315,210.184,-28.939,3508.108359
2 Jul 2007 00:11:33.063,312.876,-28.939,3515.619045
2 Jul 2007 00:12:33.000,307.898,-29.046,3243.119909
2 Jul 2007 00:13:33.000,301.901,-29.348,2999.758545
2 Jul 2007 00:14:33.000,294.762,-29.793,2794.707183
2 Jul 2007 00:15:33.000,286.452,-30.279,2637.910432
2 Jul 2007 00:16:33.000,277.133,-30.664,2539.095142
2 Jul 2007 00:17:33.000,267.216,-30.809,2505.642009
2 Jul 2007 00:18:33.000,257.296,-30.658,2540.370299
2 Jul 2007 00:19:33.000,247.969,-30.270,2640.559400
2 Jul 2007 00:20:33.000,239.644,-29.782,2798.915184
2 Jul 2007 00:21:33.000,232.483,-29.338,3005.778406
2 Jul 2007 00:22:33.000,226.457,-29.040,3251.252449
2 Jul 2007 00:23:33.000,221.438,-28.939,3526.494525
2 Jul 2007 00:23:36.333,221.186,-28.939,3542.503592
2 Jul 2007 01:50:14.620,353.696,-28.939,3501.727241
2 Jul 2007 01:51:14.000,353.328,-29.180,3113.301116
2 Jul 2007 01:52:14.000,352.817,-29.998,2722.980570
2 Jul 2007 01:53:14.000,352.086,-31.673,2337.768741
2 Jul 2007 01:54:14.000,350.981,-34.678,1962.573387
2 Jul 2007 01:55:14.000,349.155,-39.849,1606.346804
2 Jul 2007 01:56:14.000,345.630,-48.635,1286.833051
2 Jul 2007 01:57:14.000,336.311,-62.948,1040.159096
2 Jul 2007 01:58:14.000,283.612,-79.192,927.599657
2 Jul 2007 01:59:14.000,202.839,-67.487,996.105472
2 Jul 2007 02:00:14.000,189.705,-51.687,1215.187422
2 Jul 2007 02:01:14.000,185.353,-41.669,1520.473753
2 Jul 2007 02:02:14.000,183.208,-35.748,1869.329473
2 Jul 2007 02:03:14.000,181.931,-32.290,2240.466101
2 Jul 2007 02:04:14.000,181.082,-30.332,2623.311321
2 Jul 2007 02:05:14.000,180.472,-29.327,3012.201409
2 Jul 2007 02:06:14.000,180.010,-28.957,3403.814555
2 Jul 2007 02:06:35.208,179.872,-28.939,3542.468351
2 Jul 2007 03:34:14.010,37.116,-28.939,3505.103349
2 Jul 2007 03:35:14.000,41.699,-29.067,3218.643597
2 Jul 2007 03:36:14.000,47.264,-29.425,2957.214375
2 Jul 2007 03:37:14.000,53.992,-29.980,2729.037239
2 Jul 2007 03:38:14.000,62.009,-30.644,2543.865639
2 Jul 2007 03:39:14.000,71.282,-31.261,2412.204436
2 Jul 2007 03:40:14.000,81.508,-31.640,2343.426033
2 Jul 2007 03:41:14.000,92.088,-31.641,2343.148100
2 Jul 2007 03:42:14.000,102.294,-31.266,2411.212726
2 Jul 2007 03:43:14.000,111.532,-30.653,2541.725429
2 Jul 2007 03:44:14.000,119.503,-29.991,2725.127003
2 Jul 2007 03:45:14.000,126.179,-29.437,2950.816740
2 Jul 2007 03:46:14.000,131.686,-29.076,3209.008681
2 Jul 2007 03:47:14.000,136.207,-28.940,3491.531566
2 Jul 2007 03:47:23.775,136.863,-28.939,3539.398892
2 Jul 2007 12:40:34.529,63.508,-28.939,3535.761149
2 Jul 2007 12:41:34.000,69.156,-28.972,3364.288948
2 Jul 2007 12:42:34.000,75.501,-29.059,3227.911676
2 Jul 2007 12:43:34.000,82.402,-29.155,3133.808248
2 Jul 2007 12:44:34.000,89.685,-29.215,3086.386961
2 Jul 2007 12:45:34.000,97.106,-29.213,3088.157274
2 Jul 2007 12:46:34.000,104.395,-29.149,3139.208711
2 Jul 2007 12:47:34.000,111.309,-29.051,3237.202795
2 Jul 2007 12:48:34.000,117.673,-28.966,3377.880523
2 Jul 2007 12:49:20.478,122.163,-28.939,3512.784718
2 Jul 2007 14:19:48.727,13.974,-28.939,3541.921143
2 Jul 2007 14:20:48.000,15.259,-29.121,3164.309021
2 Jul 2007 14:21:48.000,16.992,-29.817,2785.643173
2 Jul 2007 14:22:48.000,19.387,-31.251,2414.106334
2 Jul 2007 14:23:48.000,22.860,-33.761,2055.446683
2 Jul 2007 14:24:48.000,28.246,-37.851,1719.629065
2 Jul 2007 14:25:48.000,37.395,-44.099,1424.741674
2 Jul 2007 14:26:48.000,54.618,-52.273,1202.935079
2 Jul 2007 14:27:48.000,86.280,-58.190,1100.546926
2 Jul 2007 14:28:48.000,122.214,-55.047,1150.481013
2 Jul 2007 14:29:48.000,144.038,-46.856,1335.738915
2 Jul 2007 14:30:48.000,155.392,-39.781,1609.840014
2 Jul 2007 14:31:48.000,161.845,-34.981,1934.694758
2 Jul 2007 14:32:48.000,165.903,-31.977,2287.910398
2 Jul 2007 14:33:48.000,168.662,-30.212,2657.199358
2 Jul 2007 14:34:48.000,170.648,-29.289,3035.610831
2 Jul 2007 14:35:48.000,172.143,-28.953,3418.963382
2 Jul 2007 14:36:00.736,172.413,-28.939,3500.696911
2 Jul 2007 16:02:05.871,333.754,-28.939,3542.773246
2 Jul 2007 16:03:05.000,330.252,-29.079,3206.109373
2 Jul 2007 16:04:05.000,325.752,-29.583,2880.501635
2 Jul 2007 16:05:05.000,319.962,-30.502,2578.555854
2 Jul 2007 16:06:05.000,312.452,-31.834,2310.897264
2 Jul 2007 16:07:05.000,302.763,-33.437,2091.881685
2 Jul 2007 16:08:05.000,290.668,-34.934,1938.957617
2 Jul 2007 16:09:05.000,276.652,-35.752,1868.978369
2 Jul 2007 16:10:05.000,262.171,-35.480,1891.358213
2 Jul 2007 16:11:05.000,248.972,-34.264,2002.833837
2 Jul 2007 16:12:05.000,238.056,-32.655,2189.371692
2 Jul 2007 16:13:05.000,229.500,-31.154,2433.070430
2 Jul 2007 16:14:05.000,222.915,-30.014,2717.723875
2 Jul 2007 16:15:05.000,217.839,-29.297,3030.811865
2 Jul 2007 16:16:05.000,213.884,-28.972,3363.304287
2 Jul 2007 16:16:30.525,212.468,-28.939,3508.998955
3 Jul 2007 00:12:59.767,315.375,-28.939,3514.393374
3 Jul 2007 00:13:59.000,310.672,-29.055,3232.324633
3 Jul 2007 00:14:59.000,304.882,-29.394,2973.604778
3 Jul 2007 00:15:59.000,297.887,-29.915,2750.946833
3 Jul 2007 00:16:59.000,289.593,-30.517,2574.803716
3 Jul 2007 00:17:59.000,280.092,-31.040,2456.065075
3 Jul 2007 00:18:59.000,269.764,-31.305,2403.850876
3 Jul 2007 00:19:59.000,259.255,-31.206,2422.777517
3 Jul 2007 00:20:59.000,249.278,-30.784,2511.264859
3 Jul 2007 00:21:59.000,240.355,-30.195,2662.155444
3 Jul 2007 00:22:59.000,232.711,-29.618,2865.156081
3 Jul 2007 00:23:59.000,226.325,-29.185,3109.444727
3 Jul 2007 00:24:59.000,221.053,-28.964,3385.316021
3 Jul 2007 00:25:31.008,218.632,-28.939,3542.572809
3 Jul 2007 01:51:59.932,355.931,-28.939,3501.449121
3 Jul 2007 01:52:59.000,355.851,-29.178,3114.675015
3 Jul 2007 01:53:59.000,355.727,-29.996,2723.788328
3 Jul 2007 01:54:59.000,355.540,-31.673,2337.752602
3 Jul 2007 01:55:59.000,355.244,-34.692,1961.323774
3 Jul 2007 01:56:59.000,354.744,-39.911,1603.194941
3 Jul 2007 01:57:59.000,353.757,-48.874,1280.701613
3 Jul 2007 01:58:59.000,351.032,-63.930,1029.622090
3 Jul 2007 01:59:59.000,317.993,-85.353,912.196614
3 Jul 2007 02:00:59.000,184.808,-69.755,978.200917
3 Jul 2007 02:01:59.000,180.572,-52.544,1197.424030
3 Jul 2007 02:02:59.000,179.289,-42.063,1503.652163
3 Jul 2007 02:03:59.000,178.665,-35.948,1853.373600
3 Jul 2007 02:04:59.000,178.289,-32.397,2225.139320
3 Jul 2007 02:05:59.000,178.033,-30.387,2608.402017
3 Jul 2007 02:06:59.000,177.842,-29.352,2997.547678
3 Jul 2007 02:07:59.000,177.690,-28.962,3389.296404
3 Jul 2007 02:08:22.414,177.637,-28.939,3542.401302
3 Jul 2007 03:36:20.819,40.048,-28.939,3505.972249
3 Jul 2007 03:37:20.000,44.795,-29.051,3237.622470
3 Jul 2007 03:38:20.000,50.561,-29.360,2992.700452
3 Jul 2007 03:39:20.000,57.421,-29.824,2783.160717
3 Jul 2007 03:40:20.000,65.431,-30.351,2618.206630
3 Jul 2007 03:41:20.000,74.483,-30.803,2507.138197
3 Jul 2007 03:42:20.000,84.233,-31.033,2457.519118
3 Jul 2007 03:43:20.000,94.132,-30.959,2473.050541
3 Jul 2007 03:44:20.000,103.578,-30.609,2552.306825
3 Jul 2007 03:45:20.000,112.113,-30.105,2689.213276
3 Jul 2007 03:46:20.000,119.519,-29.595,2874.923113
3 Jul 2007 03:47:20.000,125.780,-29.197,3099.912645
3 Jul 2007 03:48:20.000,131.003,-28.976,3355.412610
3 Jul 2007 03:49:00.006,133.982,-28.939,3539.012152

