"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jul 2007 12:04:33.193,1 Jul 2007 12:17:02.595,749.402
2,1 Jul 2007 21:10:00.191,1 Jul 2007 21:19:58.446,598.255
3,1 Jul 2007 22:49:40.338,1 Jul 2007 23:05:57.998,977.660
4,2 Jul 2007 00:32:04.956,2 Jul 2007 00:46:06.480,841.525
5,2 Jul 2007 08:42:29.265,2 Jul 2007 08:55:33.828,784.562
6,2 Jul 2007 10:21:52.607,2 Jul 2007 10:38:15.614,983.007
7,2 Jul 2007 12:06:42.848,2 Jul 2007 12:18:36.795,713.947
8,2 Jul 2007 21:11:28.388,2 Jul 2007 21:22:15.949,647.562
9,2 Jul 2007 22:51:26.130,2 Jul 2007 23:07:46.893,980.763
10,3 Jul 2007 00:33:57.234,3 Jul 2007 00:47:38.201,820.967
11,3 Jul 2007 08:43:59.071,3 Jul 2007 08:57:26.953,807.882
12,3 Jul 2007 10:23:40.007,3 Jul 2007 10:40:01.995,981.988

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jul 2007 12:00:00.000,1 Jul 2007 12:12:11.326,731.326
2,1 Jul 2007 22:55:37.891,1 Jul 2007 23:11:41.470,963.578
3,2 Jul 2007 00:38:30.485,2 Jul 2007 00:51:24.878,774.393
4,2 Jul 2007 10:17:12.817,2 Jul 2007 10:32:43.593,930.776
5,2 Jul 2007 11:59:34.191,2 Jul 2007 12:13:46.976,852.785
6,2 Jul 2007 21:21:42.544,2 Jul 2007 21:24:48.124,185.579
7,2 Jul 2007 22:57:21.165,2 Jul 2007 23:13:31.528,970.363
8,3 Jul 2007 00:40:30.846,3 Jul 2007 00:52:49.823,738.977
9,3 Jul 2007 10:18:51.113,3 Jul 2007 10:34:34.764,943.651

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jul 2007 12:09:15.002,1 Jul 2007 12:16:42.440,447.438
2,1 Jul 2007 21:06:16.484,1 Jul 2007 21:20:27.582,851.099
3,1 Jul 2007 22:47:34.927,1 Jul 2007 23:03:54.722,979.795
4,2 Jul 2007 00:30:13.366,2 Jul 2007 00:42:54.127,760.760
5,2 Jul 2007 07:04:26.035,2 Jul 2007 07:14:14.548,588.514
6,2 Jul 2007 08:41:44.332,2 Jul 2007 08:57:25.197,940.864
7,2 Jul 2007 10:23:32.815,2 Jul 2007 10:39:16.569,943.754
8,2 Jul 2007 12:11:51.880,2 Jul 2007 12:17:56.679,364.799
9,2 Jul 2007 21:07:58.003,2 Jul 2007 21:22:28.425,870.422
10,2 Jul 2007 22:49:22.590,2 Jul 2007 23:05:38.766,976.176
11,3 Jul 2007 00:32:05.396,3 Jul 2007 00:44:22.964,737.568
12,3 Jul 2007 07:05:48.517,3 Jul 2007 07:16:09.504,620.988
13,3 Jul 2007 08:43:24.236,3 Jul 2007 08:59:13.936,949.701
14,3 Jul 2007 10:25:27.687,3 Jul 2007 10:41:00.745,933.059

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jul 2007 12:04:32.390,1 Jul 2007 12:19:40.387,907.997
2,1 Jul 2007 13:45:48.946,1 Jul 2007 14:01:38.992,950.046
3,1 Jul 2007 15:35:01.262,1 Jul 2007 15:38:51.906,230.644
4,2 Jul 2007 00:34:04.213,2 Jul 2007 00:48:24.699,860.486
5,2 Jul 2007 02:15:18.651,2 Jul 2007 02:31:26.081,967.430
6,2 Jul 2007 03:58:45.732,2 Jul 2007 04:09:04.483,618.751
7,2 Jul 2007 10:30:44.807,2 Jul 2007 10:36:49.007,364.200
8,2 Jul 2007 12:06:09.358,2 Jul 2007 12:21:30.640,921.282
9,2 Jul 2007 13:47:43.018,2 Jul 2007 14:03:22.439,939.421
10,3 Jul 2007 00:35:44.389,3 Jul 2007 00:50:24.930,880.541
11,3 Jul 2007 02:17:07.169,3 Jul 2007 02:33:07.739,960.571
12,3 Jul 2007 04:00:45.101,3 Jul 2007 04:10:23.551,578.450
13,3 Jul 2007 10:31:49.048,3 Jul 2007 10:39:00.226,431.178

